Date,Symbol,High,Low,Close,Volume
2023-04-06T00:00:00+0000,NVDA,270.8,264.27,270.37,39765434.0
2023-04-05T00:00:00+0000,NVDA,269.98,263.95,268.81,51403400.0
2023-04-04T00:00:00+0000,NVDA,280.0,273.08,274.53,36859153.0
2023-04-03T00:00:00+0000,NVDA,280.0,273.36,279.65,39807200.0
2023-03-31T00:00:00+0000,NVDA,278.34,271.05,277.77,43324300.0
2023-03-30T00:00:00+0000,NVDA,274.99,271.02,273.83,36381900.0
2023-03-29T00:00:00+0000,NVDA,270.78,265.97,269.84,39266900.0
2023-03-28T00:00:00+0000,NVDA,265.13,258.5,264.1,35547400.0
2023-03-27T00:00:00+0000,NVDA,270.0,263.65,265.31,36049500.0
2023-03-24T00:00:00+0000,NVDA,271.67,263.55,267.79,45492000.0
2023-03-23T00:00:00+0000,NVDA,274.99,266.9,271.91,56377300.0
2023-03-22T00:00:00+0000,NVDA,275.89,262.37,264.68,79263700.0
2023-03-21T00:00:00+0000,NVDA,263.92,253.81,261.99,54631100.0
2023-03-20T00:00:00+0000,NVDA,260.24,251.3,259.0,43198400.0
2023-03-17T00:00:00+0000,NVDA,263.99,256.68,257.25,84694400.0
2023-03-16T00:00:00+0000,NVDA,255.88,238.94,255.41,58494626.0
2023-03-15T00:00:00+0000,NVDA,242.86,233.6001,242.28,52448574.0
2023-03-14T00:00:00+0000,NVDA,242.19,234.6,240.63,47431000.0
2023-03-13T00:00:00+0000,NVDA,232.9624,222.97,229.66,42189032.0
2023-03-10T00:00:00+0000,NVDA,236.27,227.26,229.65,47453200.0
2023-03-09T00:00:00+0000,NVDA,244.5389,233.8284,234.36,49451769.0
2023-03-08T00:00:00+0000,NVDA,242.0,234.235,241.81,51357339.0
2023-03-07T00:00:00+0000,NVDA,241.25,232.41,232.88,51515388.0
2023-03-06T00:00:00+0000,NVDA,242.48,234.87,235.54,43695300.0
2023-03-03T00:00:00+0000,NVDA,239.0,231.3,238.9,41168400.0
2023-03-02T00:00:00+0000,NVDA,233.8,224.32,233.14,38941500.0
2023-03-01T00:00:00+0000,NVDA,232.56,225.08,226.98,45911000.0
2023-02-28T00:00:00+0000,NVDA,238.25,232.06,232.16,45377500.0
2023-02-27T00:00:00+0000,NVDA,238.8,234.54,235.01,45253300.0
2023-02-24T00:00:00+0000,NVDA,234.74,229.47,232.86,58918100.0
2023-02-23T00:00:00+0000,NVDA,238.88,230.25,236.64,111672600.0
2023-02-22T00:00:00+0000,NVDA,211.04,204.21,207.54,50394800.0
2023-02-21T00:00:00+0000,NVDA,214.94,206.18,206.55,40905300.0
2023-02-17T00:00:00+0000,NVDA,217.4,209.75,213.88,46588764.0
2023-02-16T00:00:00+0000,NVDA,225.5,219.27,220.02,41070600.0
2023-02-15T00:00:00+0000,NVDA,228.55,221.06,227.64,42057500.0
2023-02-14T00:00:00+0000,NVDA,230.488,213.66,229.71,67547350.0
2023-02-13T00:00:00+0000,NVDA,220.48,209.62,217.88,47415900.0
2023-02-10T00:00:00+0000,NVDA,220.78,208.11,212.65,55031100.0
2023-02-09T00:00:00+0000,NVDA,230.2,221.2,223.37,52287400.0
2023-02-08T00:00:00+0000,NVDA,228.78,220.08,222.05,55895500.0
2023-02-07T00:00:00+0000,NVDA,222.59,211.5,221.73,66265900.0
2023-02-06T00:00:00+0000,NVDA,215.7,207.86,210.89,45162000.0
2023-02-03T00:00:00+0000,NVDA,217.45,207.89,211.0,42892500.0
2023-02-02T00:00:00+0000,NVDA,219.49,207.0,217.09,56427580.0
2023-02-01T00:00:00+0000,NVDA,211.92,196.11,209.43,65875700.0
2023-01-31T00:00:00+0000,NVDA,196.87,189.5,195.37,49801658.0
2023-01-30T00:00:00+0000,NVDA,201.4,191.5,191.62,48793400.0
2023-01-27T00:00:00+0000,NVDA,206.28,194.05,203.65,54163300.0
2023-01-26T00:00:00+0000,NVDA,201.66,192.78,198.02,48861100.0
2023-01-25T00:00:00+0000,NVDA,193.7,185.8,193.23,44830900.0
2023-01-24T00:00:00+0000,NVDA,194.95,188.2,192.65,49620410.0
2023-01-23T00:00:00+0000,NVDA,192.45,178.18,191.93,65436600.0
2023-01-20T00:00:00+0000,NVDA,178.56,168.25,178.39,56401600.0
2023-01-19T00:00:00+0000,NVDA,171.97,167.31,167.65,45250100.0
2023-01-18T00:00:00+0000,NVDA,178.73,172.82,173.77,43962355.0
2023-01-17T00:00:00+0000,NVDA,177.28,168.99,177.02,51019900.0
2023-01-13T00:00:00+0000,NVDA,169.22,161.65,168.99,44728706.0
2023-01-12T00:00:00+0000,NVDA,166.36,154.92,165.11,55009010.0
2023-01-11T00:00:00+0000,NVDA,160.18,155.64,160.01,35266432.0
2023-01-10T00:00:00+0000,NVDA,159.62,154.72,159.09,38352000.0
2023-01-09T00:00:00+0000,NVDA,160.56,151.41,156.28,50385300.0
2023-01-06T00:00:00+0000,NVDA,150.1,140.34,148.59,40482300.0
2023-01-05T00:00:00+0000,NVDA,145.64,141.4795,142.65,38659659.0
2023-01-04T00:00:00+0000,NVDA,148.53,142.41,147.49,43132360.0
2023-01-03T00:00:00+0000,NVDA,149.96,140.96,143.15,39587941.0
2022-12-30T00:00:00+0000,NVDA,146.2899,142.33,146.14,31048983.0
2022-12-29T00:00:00+0000,NVDA,146.83,142.27,146.03,35428909.0
2022-12-28T00:00:00+0000,NVDA,142.61,138.84,140.36,35106645.0
2022-12-27T00:00:00+0000,NVDA,151.0,140.5606,141.21,46490226.0
2022-12-23T00:00:00+0000,NVDA,153.39,148.83,152.06,34932563.0
2022-12-22T00:00:00+0000,NVDA,161.0,148.83,153.39,56504527.0
2022-12-21T00:00:00+0000,NVDA,166.27,161.02,165.01,32502538.0
2022-12-20T00:00:00+0000,NVDA,163.1,158.52,160.85,40217401.0
2022-12-19T00:00:00+0000,NVDA,166.09,161.45,162.54,35370700.0
2022-12-16T00:00:00+0000,NVDA,170.41,164.1,165.71,47791400.0
2022-12-15T00:00:00+0000,NVDA,173.2,167.0,169.52,47854210.0
2022-12-14T00:00:00+0000,NVDA,182.52,174.2132,176.74,49688810.0
2022-12-13T00:00:00+0000,NVDA,187.9,177.11,180.72,65658876.0
2022-12-12T00:00:00+0000,NVDA,175.36,167.97,175.35,45732780.0
2022-12-09T00:00:00+0000,NVDA,175.83,169.75,170.01,46509500.0
2022-12-08T00:00:00+0000,NVDA,171.79,159.59,171.69,50344385.0
2022-12-07T00:00:00+0000,NVDA,161.86,156.7,161.2,37238758.0
2022-12-06T00:00:00+0000,NVDA,165.72,158.19,159.87,35269427.0
2022-12-05T00:00:00+0000,NVDA,169.95,164.7201,166.1,34324177.0
2022-12-02T00:00:00+0000,NVDA,169.33,164.45,168.76,37119700.0
2022-12-01T00:00:00+0000,NVDA,172.65,166.35,171.35,47097657.0
2022-11-30T00:00:00+0000,NVDA,169.3,155.97,169.23,56529820.0
2022-11-29T00:00:00+0000,NVDA,159.32,155.2,156.39,29815300.0
2022-11-28T00:00:00+0000,NVDA,163.57,157.25,158.27,30415201.0
2022-11-25T00:00:00+0000,NVDA,164.87,161.72,162.7,16793400.0
2022-11-23T00:00:00+0000,NVDA,165.27,160.48,165.19,42687500.0
2022-11-22T00:00:00+0000,NVDA,160.58,151.22,160.38,47202300.0
2022-11-21T00:00:00+0000,NVDA,154.77,150.8,153.17,40473931.0
2022-11-18T00:00:00+0000,NVDA,160.02,151.2,154.09,49167700.0
2022-11-17T00:00:00+0000,NVDA,162.66,155.35,156.77,71089356.0
2022-11-16T00:00:00+0000,NVDA,163.62,158.73,159.1,64954680.0
2022-11-15T00:00:00+0000,NVDA,169.98,163.82,166.66,54587550.0
2022-11-14T00:00:00+0000,NVDA,165.4,159.25,162.95,52785245.0
